latitude,longitude,view_possible
48.0,5.0,False
48.0,5.006726457399103,False
48.0,5.013452914798206,False
48.0,5.020179372197309,False
48.0,5.026905829596412,False
48.0,5.033632286995516,False
48.0,5.040358744394619,False
48.0,5.047085201793722,False
48.0,5.053811659192825,False
48.0,5.060538116591928,False
48.0,5.067264573991031,False
48.0,5.073991031390134,False
48.0,5.0807174887892375,False
48.0,5.0874439461883405,False
48.0,5.0941704035874436,False
48.0,5.1008968609865475,False
48.0,5.1076233183856505,False
48.0,5.114349775784754,False
48.0,5.121076233183857,False
48.0,5.12780269058296,False
48.0,5.134529147982063,False
48.0,5.141255605381166,False
48.0,5.147982062780269,False
48.0,5.154708520179372,False
48.0,5.161434977578475,False
48.0,5.168161434977579,False
48.0,5.174887892376682,False
48.0,5.181614349775785,False
48.0,5.188340807174888,False
48.0,5.195067264573991,False
48.0,5.201793721973094,False
48.0,5.208520179372197,False
48.0,5.2152466367713,False
48.0,5.221973094170403,False
48.0,5.228699551569507,False
48.0,5.23542600896861,False
48.0,5.242152466367713,False
48.0,5.248878923766816,False
48.0,5.255605381165919,False
48.0,5.262331838565022,False
48.0,5.2690582959641254,False
48.0,5.2757847533632285,False
48.0,5.2825112107623315,False
48.0,5.289237668161435,False
48.0,5.2959641255605385,False
48.0,5.302690582959642,False
48.0,5.309417040358745,False
48.0,5.316143497757848,False
48.0,5.322869955156951,False
48.0,5.329596412556054,False
48.0,5.336322869955157,False
48.0,5.34304932735426,False
48.0,5.349775784753363,False
48.0,5.356502242152466,False
48.0,5.36322869955157,False
48.0,5.369955156950673,False
48.0,5.376681614349776,False
48.0,5.383408071748879,False
48.0,5.390134529147982,False
48.0,5.396860986547085,False
48.0,5.403587443946188,False
48.0,5.410313901345291,True
48.0,5.417040358744394,False
48.0,5.423766816143498,False
48.0,5.430493273542601,False
48.0,5.437219730941704,False
48.0,5.443946188340807,False
48.0,5.45067264573991,False
48.0,5.457399103139013,False
48.0,5.4641255605381165,False
48.0,5.4708520179372195,False
48.0,5.477578475336323,True
48.0,5.484304932735426,False
48.0,5.49103139013453,True
48.0,5.497757847533633,False
48.0,5.504484304932736,False
48.0,5.511210762331839,False
48.0,5.517937219730942,False
48.0,5.524663677130045,False
48.0,5.531390134529148,False
48.0,5.538116591928251,False
48.0,5.544843049327354,False
48.0,5.551569506726457,False
48.0,5.558295964125561,False
48.0,5.565022421524664,False
48.0,5.571748878923767,False
48.0,5.57847533632287,False
48.0,5.585201793721973,False
48.0,5.591928251121076,False
48.0,5.598654708520179,False
48.0,5.605381165919282,False
48.0,5.612107623318385,False
48.0,5.618834080717489,False
48.0,5.625560538116592,False
48.0,5.632286995515695,False
48.0,5.639013452914798,False
48.0,5.645739910313901,False
48.0,5.6524663677130045,False
48.0,5.6591928251121075,False
48.0,5.665919282511211,False
48.0,5.672645739910314,False
48.0,5.679372197309418,False
48.0,5.68609865470852,False
48.0,5.692825112107624,False
48.0,5.699551569506727,False
48.0,5.70627802690583,False
48.0,5.713004484304933,True
48.0,5.719730941704036,True
48.0,5.726457399103139,True
48.0,5.733183856502242,True
48.0,5.739910313901345,True
48.0,5.746636771300448,True
48.0,5.753363228699552,False
48.0,5.760089686098655,False
48.0,5.766816143497758,False
48.0,5.773542600896861,True
48.0,5.780269058295964,True
48.0,5.786995515695067,True
48.0,5.79372197309417,True
48.0,5.800448430493273,False
48.0,5.807174887892376,False
48.0,5.81390134529148,False
48.0,5.820627802690583,False
48.0,5.827354260089686,False
48.0,5.834080717488789,False
